date,potential_water_deficit
2006-08-26,0.8382
2006-08-27,0.0263
2006-08-28,-4.8241
2006-08-29,5.4132
2006-08-30,-4.4519
2006-08-31,-4.0771
2006-09-01,-1.773
2006-09-02,11.4134
2006-09-03,-2.2254
2006-09-04,-3.4471
2006-09-05,9.5861
2006-09-06,8.9622
2006-09-07,-3.2258
2006-09-08,-3.1477
2006-09-09,0.9205
2006-09-10,2.286
2006-09-11,1.5338
2006-09-12,-3.0536
2006-09-13,-0.8976
2006-09-14,1.2398
2006-09-15,1.98
2006-09-16,-1.8924
2006-09-17,-1.1026
2006-09-18,-4.1428
2006-09-19,-3.7253
2006-09-20,-2.7895
2006-09-21,10.0668
2006-09-22,0.1258
2006-09-23,-0.0173
2006-09-24,0.6378
2006-09-25,-1.6719
2006-09-26,-1.2599
2006-09-27,-1.798
2006-09-28,5.4447
2006-09-29,-4.499
2006-09-30,-1.7091
2006-10-01,10.1186
2006-10-02,-4.4752
2006-10-03,-3.1555
2006-10-04,2.6098
2006-10-05,-3.3176
2006-10-06,-4.3364
2006-10-07,-3.0938
2006-10-08,-3.3041
2006-10-09,-3.5782
2006-10-10,-2.5448
2006-10-11,-4.0675
2006-10-12,-4.8357
2006-10-13,-5.1002
2006-10-14,-5.4932
2006-10-15,-4.5991
2006-10-16,-3.6763
2006-10-17,-3.6479
2006-10-18,-1.2939
2006-10-19,-1.1417
2006-10-20,0.5656
2006-10-21,-4.0638
2006-10-22,3.2764
2006-10-23,2.5549
2006-10-24,-2.2265
2006-10-25,-3.224
2006-10-26,-2.5633
2006-10-27,6.5025
2006-10-28,-3.0441
2006-10-29,-4.442
2006-10-30,-1.5725
2006-10-31,-1.0773
2007-07-01,3.1065
2007-07-02,-1.881
2007-07-03,6.0816
2007-07-04,8.9364
2007-07-05,12.5737
2007-07-06,3.2731
2007-07-07,3.2333
2007-07-08,-1.1395
2007-07-09,-0.8886
2007-07-10,9.2593
2007-07-11,0.9287
2007-07-12,13.9808
2007-07-13,10.7158
2007-07-14,-3.4597
2007-07-15,-4.1053
2007-07-16,3.4694
2007-07-17,11.9021
2007-07-18,1.6502
2007-07-19,-3.7626
2007-07-20,-4.7135
2007-07-21,-2.3972
2007-07-22,-4.2376
2007-07-23,-4.0455
2007-07-24,-1.9152
2007-07-25,13.6693
2007-07-26,4.3408
2007-07-27,-4.0389
2007-07-28,0.214
2007-07-29,18.278
2007-07-30,2.2946
2007-07-31,-1.1017
2007-08-01,0.1134
2007-08-02,2.2484
2007-08-03,-2.2988
2007-08-04,-1.1155
2007-08-05,15.8742
2007-08-06,-3.3673
2007-08-07,11.0335
2007-08-08,3.9027
2007-08-09,-0.8148
2007-08-10,3.2245
2007-08-11,-2.3351
2007-08-12,-0.6456
2007-08-13,0.0594
2007-08-14,3.0141
2007-08-15,9.8319
2007-08-16,-1.8185
2007-08-17,3.6571
2007-08-18,-2.7443
2007-08-19,-2.5554
2007-08-20,-2.8299
2007-08-21,-2.4228
2007-08-22,4.2232
2007-08-23,2.8723
2007-08-24,-4.0256
2007-08-25,-4.4716
2007-08-26,6.3453
2007-08-27,10.1932
2007-08-28,3.442
2007-08-29,-0.536
2007-08-30,-0.3363
2007-08-31,8.5213
2007-09-01,6.4811
2007-09-02,5.2007
2007-09-03,3.5525
2007-09-04,15.9721
2007-09-05,3.2955
2007-09-06,-1.2303
2007-09-07,-3.1076
2007-09-08,6.791
2007-09-09,5.8038
2007-09-10,-3.0316
2007-09-11,3.3416
2007-09-12,1.2899
2007-09-13,-4.068
2007-09-14,-4.3892
2007-09-15,-1.3004
2007-09-16,-4.3006
2007-09-17,-4.2416
2007-09-18,1.6745
2007-09-19,-0.3636
2007-09-20,-4.7445
2007-09-21,-1.6431
2007-09-22,1.0707
2007-09-23,-4.7243
2007-09-24,-4.0755
2007-09-25,-1.0323
2007-09-26,1.6176
2007-09-27,1.3756
2007-09-28,-5.0119
2007-09-29,-5.2296
2007-09-30,-1.509
2007-10-01,6.2949
2007-10-02,2.6412
2007-10-03,-4.1816
2007-10-04,-3.5411
2007-10-05,1.1556
2007-10-06,0.4384
2007-10-07,-4.0887
2007-10-08,-2.3962
2007-10-09,2.2725
2007-10-10,4.3849
2007-10-11,-4.3768
2007-10-12,-4.5436
2007-10-13,-5.0743
2007-10-14,-4.7359
2007-10-15,-2.3375
2007-10-16,-3.5664
2007-10-17,-2.8899
2007-10-18,-1.2207
2007-10-19,-1.3276
2007-10-20,-2.6495
2007-10-21,7.7676
2007-10-22,4.691
2007-10-23,-4.1938
2007-10-24,-4.3966
2007-10-25,-4.6393
2007-10-26,-3.7866
2007-10-27,-5.0125
2007-10-28,-4.9564
2007-10-29,-5.4404
2007-10-30,-5.1926
2007-10-31,-2.273
2008-07-01,-4.8218
