date,2m_temp
2007-10-09,28.5777
2007-10-10,29.3176
2007-10-11,28.523
2007-10-12,28.8504
2007-10-13,29.1986
2007-10-14,29.1531
2007-10-15,28.8711
2007-10-16,28.177
2007-10-17,27.6165
2007-10-18,28.0934
2007-10-19,29.379
2007-10-20,27.8428
2007-10-21,29.6959
2007-10-22,29.2796
2007-10-23,28.6604
2007-10-24,29.4071
2007-10-25,29.1493
2007-10-26,29.0347
2007-10-27,29.7691
2007-10-28,28.3574
2007-10-29,28.4287
2007-10-30,28.5258
2007-10-31,30.063
2008-07-01,30.679
2008-07-02,29.6133
2008-07-03,28.2902
2008-07-04,25.473
2008-07-05,27.9759
2008-07-06,28.6824
2008-07-07,29.0753
2008-07-08,26.8693
2008-07-09,28.7869
2008-07-10,26.0134
2008-07-11,24.498
2008-07-12,25.6373
2008-07-13,28.4039
2008-07-14,27.6122
2008-07-15,27.0123
2008-07-16,27.8773
2008-07-17,27.0667
2008-07-18,26.7971
2008-07-19,27.624
2008-07-20,25.9651
2008-07-21,25.7313
2008-07-22,28.2119
2008-07-23,28.4475
2008-07-24,26.5241
2008-07-25,28.0745
2008-07-26,26.4494
2008-07-27,28.3448
2008-07-28,26.6518
2008-07-29,26.5502
2008-07-30,25.7304
2008-07-31,25.5861
2008-08-01,26.9137
2008-08-02,28.3784
2008-08-03,27.4745
2008-08-04,27.1457
2008-08-05,26.5223
2008-08-06,27.2204
2008-08-07,25.2726
2008-08-08,27.2901
2008-08-09,26.8748
2008-08-10,27.4096
2008-08-11,28.5252
2008-08-12,27.9904
2008-08-13,25.0698
2008-08-14,27.8312
2008-08-15,27.8032
2008-08-16,24.0962
2008-08-17,25.4123
2008-08-18,26.8876
2008-08-19,26.312
2008-08-20,27.235
2008-08-21,25.4877
2008-08-22,26.5489
2008-08-23,26.2105
2008-08-24,26.8266
2008-08-25,24.8108
2008-08-26,25.3372
2008-08-27,25.9597
2008-08-28,25.1674
2008-08-29,25.8481
2008-08-30,27.4087
2008-08-31,27.1027
2008-09-01,25.0866
2008-09-02,26.9866
2008-09-03,27.672
2008-09-04,25.1958
2008-09-05,25.2136
2008-09-06,25.8037
2008-09-07,26.1953
2008-09-08,25.864
2008-09-09,25.2474
2008-09-10,27.3142
2008-09-11,26.272
2008-09-12,25.1448
2008-09-13,26.6405
2008-09-14,25.6133
2008-09-15,27.3266
2008-09-16,27.4885
2008-09-17,26.6975
2008-09-18,24.8772
2008-09-19,27.3234
2008-09-20,27.3895
2008-09-21,26.6692
2008-09-22,26.716
2008-09-23,28.3076
2008-09-24,28.5669
2008-09-25,26.9414
2008-09-26,27.3381
2008-09-27,28.9069
2008-09-28,29.3985
2008-09-29,28.8856
2008-09-30,27.4951
2008-10-01,28.0207
2008-10-02,28.0772
2008-10-03,28.6856
2008-10-04,28.036
2008-10-05,27.2627
2008-10-06,27.9118
2008-10-07,28.3981
2008-10-08,28.6539
2008-10-09,28.3976
2008-10-10,27.9021
2008-10-11,27.5732
2008-10-12,28.8688
2008-10-13,27.0882
2008-10-14,27.3557
2008-10-15,28.4553
2008-10-16,28.9457
2008-10-17,29.0553
2008-10-18,29.4953
2008-10-19,30.1491
2008-10-20,29.8787
2008-10-21,29.4359
2008-10-22,28.8625
2008-10-23,29.4456
2008-10-24,27.7727
2008-10-25,27.5591
2008-10-26,29.6661
2008-10-27,30.0927
2008-10-28,29.4521
2008-10-29,28.4456
2008-10-30,28.2503
2008-10-31,30.0753
2009-07-01,30.6968
2009-07-02,29.4611
2009-07-03,30.03
2009-07-04,27.012
2009-07-05,29.5312
2009-07-06,29.1392
2009-07-07,28.1173
2009-07-08,27.356
2009-07-09,26.4016
2009-07-10,27.2814
2009-07-11,26.8081
2009-07-12,27.399
2009-07-13,28.8473
2009-07-14,27.9731
2009-07-15,27.0753
2009-07-16,29.1171
2009-07-17,26.4286
2009-07-18,26.2285
2009-07-19,26.3789
2009-07-20,27.9915
2009-07-21,28.167
2009-07-22,26.3448
2009-07-23,28.8369
2009-07-24,27.3611
2009-07-25,27.5427
2009-07-26,27.9627
2009-07-27,28.62
2009-07-28,25.9607
2009-07-29,27.3195
2009-07-30,29.0781
2009-07-31,28.5392
2009-08-01,28.4803
2009-08-02,27.5309
2009-08-03,28.5785
2009-08-04,26.9246
2009-08-05,28.411
2009-08-06,27.9286
2009-08-07,27.3299
2009-08-08,26.5536
2009-08-09,27.3274
2009-08-10,27.1123
2009-08-11,27.222
2009-08-12,27.1188
2009-08-13,27.571
2009-08-14,24.3072
2009-08-15,26.8365
2009-08-16,28.5977
2009-08-17,28.4523
2009-08-18,26.7248
2009-08-19,28.0268
2009-08-20,25.965
2009-08-21,24.908
2009-08-22,27.563
2009-08-23,27.9926
2009-08-24,26.2706
2009-08-25,25.7493
2009-08-26,25.1909
2009-08-27,27.0548
2009-08-28,26.1233
2009-08-29,26.6244
2009-08-30,26.6532
2009-08-31,27.9085
2009-09-01,28.0455
2009-09-02,26.7846
2009-09-03,27.1756
2009-09-04,27.5614
2009-09-05,27.8762
2009-09-06,27.957
2009-09-07,27.1955
2009-09-08,26.861
2009-09-09,28.0013
2009-09-10,29.507
2009-09-11,28.8744
2009-09-12,28.8592
2009-09-13,28.9781
2009-09-14,29.7732
2009-09-15,29.4192
2009-09-16,26.8573
2009-09-17,28.1612
2009-09-18,29.2136
2009-09-19,29.6583
2009-09-20,29.3217
2009-09-21,29.7707
2009-09-22,28.9911
2009-09-23,28.1213
2009-09-24,29.0859
2009-09-25,28.7592
2009-09-26,28.2443
2009-09-27,28.4849
2009-09-28,27.3805
2009-09-29,28.0442
2009-09-30,27.864
2009-10-01,28.1769
2009-10-02,29.4179
2009-10-03,28.8996
2009-10-04,29.8218
2009-10-05,30.0012
2009-10-06,29.9887
2009-10-07,30.449
2009-10-08,28.2132
2009-10-09,28.2169
2009-10-10,28.7355
2009-10-11,27.5487
2009-10-12,29.8202
2009-10-13,30.6237
2009-10-14,32.0052
2009-10-15,31.0402
2009-10-16,30.9966
2009-10-17,30.0834
2009-10-18,29.4427
2009-10-19,28.034
2009-10-20,29.3552
2009-10-21,30.3232
2009-10-22,31.0059
2009-10-23,30.8633
2009-10-24,29.9443
2009-10-25,30.5205
2009-10-26,30.9659
2009-10-27,30.9051
2009-10-28,32.052
2009-10-29,31.7349
2009-10-30,31.1656
2009-10-31,31.5969
2010-07-01,30.502
2010-07-02,31.1876
2010-07-03,29.0774
2010-07-04,27.5611
2010-07-05,28.0311
2010-07-06,28.9442
2010-07-07,29.7952
2010-07-08,29.9359
2010-07-09,29.4044
2010-07-10,29.5701
2010-07-11,29.0495
2010-07-12,29.455
2010-07-13,27.7659
2010-07-14,24.1281
2010-07-15,24.7544
2010-07-16,27.1932
2010-07-17,26.2748
2010-07-18,25.4923
2010-07-19,25.7103
2010-07-20,24.2091
2010-07-21,24.3765
2010-07-22,27.2204
2010-07-23,25.8732
2010-07-24,24.3936
2010-07-25,26.0318
2010-07-26,27.2646
2010-07-27,25.7204
2010-07-28,26.0186
2010-07-29,26.4301
2010-07-30,25.8646
2010-07-31,26.9351
2010-08-01,27.5913
2010-08-02,25.9063
2010-08-03,23.9505
2010-08-04,25.4297
2010-08-05,25.7545
2010-08-06,28.0994
2010-08-07,28.2942
2010-08-08,26.1306
2010-08-09,24.822
2010-08-10,25.385
2010-08-11,26.2176
2010-08-12,24.2194
2010-08-13,25.4338
2010-08-14,27.0046
2010-08-15,25.943
2010-08-16,25.3236
2010-08-17,26.8403
2010-08-18,26.5143
2010-08-19,27.0573
2010-08-20,26.3989
2010-08-21,26.311
2010-08-22,27.1734
2010-08-23,24.3883
2010-08-24,26.8509
2010-08-25,25.5905
2010-08-26,25.248
2010-08-27,25.1946
2010-08-28,25.8758
2010-08-29,26.8215
2010-08-30,26.5971
2010-08-31,24.5339
2010-09-01,25.6979
2010-09-02,26.684
2010-09-03,26.1569
2010-09-04,25.4742
2010-09-05,26.5969
2010-09-06,26.0635
2010-09-07,25.8164
2010-09-08,27.0235
2010-09-09,26.7671
2010-09-10,26.1592
2010-09-11,25.1728
2010-09-12,26.1066
2010-09-13,27.0359
2010-09-14,24.5151
2010-09-15,25.3171
2010-09-16,26.1688
2010-09-17,26.0949
2010-09-18,25.5601
2010-09-19,27.0741
2010-09-20,27.2089
2010-09-21,26.9591
2010-09-22,25.6205
2010-09-23,26.7342
2010-09-24,27.5615
2010-09-25,27.0837
2010-09-26,26.5155
2010-09-27,27.0638
2010-09-28,28.5287
2010-09-29,28.9964
2010-09-30,28.3601
2010-10-01,27.5358
2010-10-02,26.9423
2010-10-03,28.9661
2010-10-04,29.3433
2010-10-05,30.4235
2010-10-06,27.8402
2010-10-07,27.9395
2010-10-08,27.974
2010-10-09,27.2707
2010-10-10,28.0346
2010-10-11,29.2839
2010-10-12,30.2651
2010-10-13,30.5364
2010-10-14,30.4055
2010-10-15,28.8402
2010-10-16,28.2842
2010-10-17,28.3318
2010-10-18,27.7183
2010-10-19,27.9327
2010-10-20,29.0152
2010-10-21,28.8477
2010-10-22,28.6287
2010-10-23,29.2917
2010-10-24,29.2667
2010-10-25,29.1936
2010-10-26,28.755
2010-10-27,30.062
2010-10-28,30.8574
2010-10-29,29.3165
2010-10-30,30.1867
2010-10-31,30.5137
2011-07-01,30.4969
2011-07-02,31.6119
2011-07-03,33.0205
2011-07-04,31.9019
2011-07-05,30.0457
2011-07-06,31.1954
2011-07-07,30.2337
2011-07-08,30.1561
2011-07-09,31.3957
2011-07-10,30.9884
2011-07-11,29.6378
2011-07-12,30.3049
2011-07-13,28.5975
2011-07-14,29.0832
2011-07-15,29.5491
2011-07-16,30.7684
2011-07-17,29.5896
2011-07-18,29.4571
2011-07-19,30.1212
2011-07-20,28.3145
2011-07-21,28.6788
2011-07-22,28.753
2011-07-23,27.6745
2011-07-24,25.918
2011-07-25,28.4101
2011-07-26,29.1084
2011-07-27,29.9335
2011-07-28,29.9977
2011-07-29,26.5943
2011-07-30,25.7716
2011-07-31,25.0166
2011-08-01,28.3221
2011-08-02,29.2382
2011-08-03,24.416
2011-08-04,27.9549
2011-08-05,27.0457
2011-08-06,25.647
2011-08-07,25.3697
2011-08-08,25.9951
2011-08-09,26.2
2011-08-10,24.994
2011-08-11,28.0549
2011-08-12,24.8192
2011-08-13,25.8065
2011-08-14,26.8276
2011-08-15,26.3646
2011-08-16,26.8369
2011-08-17,25.7647
2011-08-18,26.5567
2011-08-19,27.0778
2011-08-20,26.6571
2011-08-21,26.3202
2011-08-22,28.152
2011-08-23,28.0609
2011-08-24,26.0535
2011-08-25,27.05
2011-08-26,26.9539
2011-08-27,27.7092
2011-08-28,26.0019
2011-08-29,24.1265
2011-08-30,25.5849
2011-08-31,26.4232
2011-09-01,25.838
2011-09-02,25.6725
2011-09-03,23.6652
2011-09-04,25.636
2011-09-05,26.65
